id,sample,a_intent,a_interested,b_motion,b_interested,b_next_step,b_wants
121590482131,primary,asks_question,True,asks_for_information,True,True,"Asks the recipient to explain how their 1-3 GB .svs image files can be handled in Encord, since that format is not on the supported list, and links an example file."
121630065896,primary,wants_call,True,proposes_or_accepts_meeting,True,True,"Asks the recipient to find a new time slot for the demo since the proposed week falls on the Lunar New Year holiday, noting they are happy to push it back even to next quarter."
124498365664,primary,other_human,False,redirects_to_colleague,True,True,Asks the recipient to add Ravi Lambi (rlambi@dori.ai) to the meeting invite as well.
124674938045,primary,wants_call,True,proposes_or_accepts_meeting,True,True,Proposes 3:30pm tomorrow as the time for their meeting.
125174080747,primary,wants_call,True,proposes_or_accepts_meeting,True,True,Agrees that tomorrow works for the proposed meeting.
125315615986,primary,wants_call,True,proposes_or_accepts_meeting,True,True,Proposes connecting at 8 PM PST / 9:30 AM IST.
125553415374,primary,not_now,False,defers_to_later,False,False,Is not asking for anything now; says they will not be available at the scheduled time and will get back on it.
125755591904,booster,asks_question,True,asks_for_information,True,True,Asks whether the 5 licenses are floating or single-seat.
126176061670,primary,not_now,False,defers_to_later,False,False,Says he cannot attend the dinner because he is out of London and asks to be considered for the next one.
127887833293,booster,referral,True,redirects_to_colleague,True,False,Is not asking for anything; says he forwarded the NDA details and his colleagues will connect with the recipient soon.
128080871660,primary,wants_call,True,proposes_or_accepts_meeting,True,True,Says this week is not possible and proposes Monday 3 February in the morning as an alternative meeting time.
128788259029,primary,not_interested,False,declines,False,False,Is not asking for anything; declines the dinner invitation.
130684557560,booster,referral,True,redirects_to_colleague,True,True,Says he does not know who would oversee such meetings and tells the recipient to try contacting the company's marketing team instead.
131710956776,primary,wants_call,True,proposes_or_accepts_meeting,True,True,"Asks whether the recipient is available Thursdays at 9 AM, offering to find a different time if not."
133979990217,primary,referral,True,redirects_to_colleague,True,True,"Tells the recipient the credit-card details can be given over the phone and hands the relationship over to her colleague Jacy Pieper, who will assist going forward."
134860332274,primary,asks_question,True,asks_for_information,True,True,Says they cannot attend due to a previous commitment and asks who else is coming to the meetup.
134963863783,primary,other_human,False,acknowledges_only,False,False,Is not asking for anything; affirms they will do their best to get her.
135389916395,booster,asks_question,True,acknowledges_only,False,False,Is not asking for anything; thanks the recipient for setting up the next meeting and writes up the demo questions together with the answers already given.
136294900932,primary,not_now,False,defers_to_later,False,False,Is not asking for anything now; suggests reconnecting in a month or so when their usage ramps up and they expand their data team.
136610716892,primary,other_human,False,acknowledges_only,False,False,Is not asking for anything; confirms they have no dietary restrictions and thanks for the invitation.
137107895522,primary,asks_question,True,asks_for_information,True,True,"Asks the recipient to accept the coordination-group invite, assist with uploading their sample data and labels, and give initial platform access to six named team members."
138418459894,primary,other_human,False,defers_to_later,False,False,Is not asking for anything now; thanks for the clarification and says they will regroup with their team and possibly set up a discussion later.
138857767134,primary,not_interested,False,asks_for_information,True,True,"Asks whether the dinner is in London, noting he will be in the States those days and so cannot make it."
139079027909,booster,wants_materials,True,requests_document_or_demo,True,True,Asks to be told more about pricing before their upcoming meeting.
139944036568,primary,other_human,False,asks_for_information,True,True,"Asks how they would get the annotation JSONs back and how long the example labeling task would take Encord's annotators, while sharing a demo video and pricing objections."
